id	category	project	license_scope	documented_compatibility	capabilities	evidence	assessment	last_repository_push_utc	github_stars_snapshot	release_tag_observed	release_date_utc	repository_url	metadata_source	survey_date
coveragehack	Coverage proxy	koalafr/godot-coverage-hack	MIT	Filename-based; not runtime measurement	Matches scripts to test filenames; pseudo-coverage report	README	Exclude from execution coverage comparison	2022-05-17T20:48:52Z	2	not recorded	not recorded	https://github.com/koalafr/godot-coverage-hack	https://api.github.com/repos/koalafr/godot-coverage-hack	2026-09-06
gdtoolkit	Static analysis / formatting	Scony/godot-gdscript-toolkit	MIT	Godot 4 syntax tools; release 4.5.0; newest syntax unverified	Python/Lark parser; gdlint; gdformat; CLI and pre-commit	README + release + license	Reuse candidate; syntactic analysis	2025-10-09T14:26:40Z	1601	4.5.0	2025-10-09T14:22:45Z	https://github.com/Scony/godot-gdscript-toolkit	https://api.github.com/repos/Scony/godot-gdscript-toolkit	2026-09-06
gdstyle	Static analysis / formatting	atelico/gdstyle	MIT	Godot 4.x; native editor integration requires 4.6+	Rust lint/format/autofix; JSON; CLI and editor integration	README + release	Reuse candidate	2026-08-02T23:42:33Z	59	v0.2.5	2026-08-02T23:36:00Z	https://github.com/atelico/gdstyle	https://api.github.com/repos/atelico/gdstyle	2026-09-06
gdquestformat	Static analysis / formatting	GDQuest/GDScript-formatter	MIT	Godot 4; exact patch matrix not established	Tree-sitter formatter; style lint rules; CLI/editor integrations	README + release	Reuse candidate	2026-08-21T11:44:46Z	443	0.24.0	2026-07-25T20:51:13Z	https://github.com/GDQuest/GDScript-formatter	https://api.github.com/repos/GDQuest/GDScript-formatter	2026-09-06
gdshrapt	Semantic analysis	elamaunt/GDShrapt	Apache-2.0 current; <=5.0.0 MIT; planned commercial layer	GDScript; standalone .NET; 6.0 CLI alpha	Types; cross-file/scene analysis; rename; dead code; LSP/plugin roadmap	README	Reuse candidate; distinguish shipped/planned	2026-08-02T15:56:19Z	78	not recorded	not recorded	https://github.com/elamaunt/GDShrapt	https://api.github.com/repos/elamaunt/GDShrapt	2026-09-06
gdanalyzer	Semantic analysis	reactive-ui-toolkit/gdscript-analyzer	MIT OR Apache-2.0	Godot 4.x; standalone Rust; manifest 0.6.1 vs README 0.5.x	Semantic API; scene-aware analysis; CLI/LSP; native/Node/WASM	README + Cargo.toml + license files listed	Reuse candidate; validate engine parity	2026-08-17T18:25:54Z	4	not recorded	not recorded	https://github.com/reactive-ui-toolkit/gdscript-analyzer	https://api.github.com/repos/reactive-ui-toolkit/gdscript-analyzer	2026-09-06
graylinter	Static analysis	graydwarf/godot-gdscript-linter	MIT	GDScript; Godot 4.0+ claimed	Code quality metrics and checks; editor navigation; headless CLI	README	Reuse candidate; not full semantic substitute	2026-07-27T15:09:19Z	60	not recorded	not recorded	https://github.com/graydwarf/godot-gdscript-linter	https://api.github.com/repos/graydwarf/godot-gdscript-linter	2026-09-06
treesitter	Parser	PrestonKnopp/tree-sitter-gdscript	MIT	GDScript grammar; exact newest syntax parity unverified	Reusable syntax tree for source tools	README + metadata	Coverage instrumentation building block	2026-07-13T21:40:48Z	115	not recorded	not recorded	https://github.com/PrestonKnopp/tree-sitter-gdscript	https://api.github.com/repos/PrestonKnopp/tree-sitter-gdscript	2026-09-06
jscpd	Duplication analysis	kucherenko/jscpd	MIT	GDScript support documented in changelog	Copy/paste detection; reporting	README + changelog	Complementary static analysis	2026-09-06T15:06:32Z	6149	not recorded	not recorded	https://github.com/kucherenko/jscpd	https://api.github.com/repos/kucherenko/jscpd	2026-09-06
vscode	IDE / debugger	godotengine/godot-vscode-plugin	MIT	Godot/GDScript; VS Code	LSP; debugger; breakpoints; stepping; watches; scene tree; inspector	README	Reference integration	2026-08-10T23:15:10Z	2119	not recorded	not recorded	https://github.com/godotengine/godot-vscode-plugin	https://api.github.com/repos/godotengine/godot-vscode-plugin	2026-09-06
gutvscode	IDE / tests	bitwes/gut-extension	MIT	GUT; VS Code; version matching required	Run all/single-script/single-test from VS Code	README	Existing test UX	2026-05-22T11:22:51Z	47	not recorded	not recorded	https://github.com/bitwes/gut-extension	https://api.github.com/repos/bitwes/gut-extension	2026-09-06
jetbrains	IDE / debugger	JetBrains/godot-support	MIT GDScript plugin; Apache-2.0 shared/.NET components	Rider bundled; other IDE builds discussed; PyCharm availability unverified	GDScript language support; DAP; scene tools; run configurations	README + Rider docs + plugin.xml	Reuse investigation; PyCharm needs validation	2026-09-06T06:44:08Z	502	not recorded	not recorded	https://github.com/JetBrains/godot-support	https://api.github.com/repos/JetBrains/godot-support	2026-09-06
lsp4ij	IDE protocol client	redhat-developer/lsp4ij	EPL-2.0	IntelliJ-family; exact PyCharm build and Godot pairing unverified	Generic LSP and DAP clients; configurable adapters	README	PyCharm integration candidate	2026-09-04T13:33:32Z	342	not recorded	not recorded	https://github.com/redhat-developer/lsp4ij	https://api.github.com/repos/redhat-developer/lsp4ij	2026-09-06
zed	IDE / debugger	GDQuest/zed-gdscript	MIT	Zed; README documents 4.4 debugging caveat; 4.7 unknown	Language integration; Godot debug launch/attach	README	Reference integration	2026-07-27T13:17:21Z	202	not recorded	not recorded	https://github.com/GDQuest/zed-gdscript	https://api.github.com/repos/GDQuest/zed-gdscript	2026-09-06
emacs	IDE / debugger	godotengine/emacs-gdscript-mode	GPL-3.0 (GitHub identifier)	Godot 4 debugging through separate dap-mode integration	GDScript mode; LSP workflow; Godot 3 built-in debugger	README	Reference integration	2026-08-22T09:15:21Z	401	not recorded	not recorded	https://github.com/godotengine/emacs-gdscript-mode	https://api.github.com/repos/godotengine/emacs-gdscript-mode	2026-09-06
nvimdap	IDE protocol client	mfussenegger/nvim-dap	GPL-3.0 (GitHub identifier)	Generic DAP client; Godot adapter configuration needed	Debugger UI/protocol building block	README / Godot DAP documentation	Adjacent integration	2026-09-02T14:29:46Z	7247	not recorded	not recorded	https://github.com/mfussenegger/nvim-dap	https://api.github.com/repos/mfussenegger/nvim-dap	2026-09-06
setupgodot	CI	chickensoft-games/setup-godot	MIT	macOS/Windows/Linux; explicit engine version	Install Godot for headless CI	README	Reuse infrastructure	2026-09-01T16:28:12Z	179	not recorded	not recorded	https://github.com/chickensoft-games/setup-godot	https://api.github.com/repos/chickensoft-games/setup-godot	2026-09-06
godotci	CI	abarichello/godot-ci	MIT	Container image tag determines engine version	Docker export/build images and CI templates	README	Reuse infrastructure	2026-08-18T23:48:03Z	1121	not recorded	not recorded	https://github.com/abarichello/godot-ci	https://api.github.com/repos/abarichello/godot-ci	2026-09-06
gdunitaction	CI	godot-gdunit-labs/gdUnit4-action	MIT	Godot 4; GDScript and C#; explicit versions	Install/run gdUnit4 and report results	README	Reuse infrastructure	2026-08-05T15:24:45Z	61	not recorded	not recorded	https://github.com/godot-gdunit-labs/gdUnit4-action	https://api.github.com/repos/godot-gdunit-labs/gdUnit4-action	2026-09-06
coverlet	Coverage (.NET)	coverlet-coverage/coverlet	MIT	Managed .NET assemblies; Godot in-process setup needs validation	Managed line/branch/method coverage; not GDScript coverage	README	Separate .NET ecosystem	2026-09-01T12:48:23Z	3171	not recorded	not recorded	https://github.com/coverlet-coverage/coverlet	https://api.github.com/repos/coverlet-coverage/coverlet	2026-09-06
regression	Engine regression fixtures	godotengine/regression-test-project	MIT	Default branch 3.x; engine regression project	Visual/regression examples; not general 4.7 game test runner	README + metadata	Historical adjacent project	2024-11-06T11:51:55Z	24	not recorded	not recorded	https://github.com/godotengine/regression-test-project	https://api.github.com/repos/godotengine/regression-test-project	2026-09-06
